driver_id,date,total_transcations,total_distance,online_duration_in_seconds,orders_received,orders_accepted,earnings,orders_cancelled,label
140382652,2016-08-11,0,0.0,807,0,0,0.0,0,0
140350079,2016-08-11,0,0.0,5969,0,0,0.0,0,0
140568425,2016-08-11,0,0.0,54294,0,0,0.0,0,0
140454349,2016-08-11,0,0.0,16,0,0,0.0,0,0
140591315,2016-08-11,0,0.0,0,0,0,0.0,0,0
140673394,2016-08-11,0,0.0,302,0,0,0.0,0,0
140574606,2016-08-11,0,0.0,5589,0,0,0.0,0,1
140213412,2016-08-11,0,0.0,0,0,0,0.0,0,0
140566227,2016-08-11,0,0.0,0,0,0,0.0,0,0
140276586,2016-08-11,0,0.0,0,0,0,0.0,0,1
140476336,2016-08-11,0,0.0,0,0,0,0.0,0,0
140407773,2016-08-11,0,0.0,215,0,0,0.0,0,0
140143408,2016-08-11,0,0.0,3671,0,0,0.0,0,0
140219265,2016-08-11,0,0.0,0,0,0,0.0,0,0
140561207,2016-08-11,0,0.0,0,0,0,0.0,0,0
140315780,2016-08-11,0,0.0,0,0,0,0.0,0,1
140565358,2016-08-11,0,0.0,0,0,0,0.0,0,0
140504771,2016-08-11,0,0.0,0,0,0,0.0,0,0
140228956,2016-08-11,0,0.0,0,0,0,0.0,0,1
140550910,2016-08-11,0,0.0,0,0,0,0.0,0,0
140135895,2016-08-11,0,0.0,0,0,0,0.0,0,1
140090121,2016-08-11,0,0.0,1,0,0,0.0,0,0
140154578,2016-08-11,0,0.0,0,0,0,0.0,0,0
140129350,2016-08-11,0,0.0,592,0,0,0.0,0,0
140219742,2016-08-11,0,0.0,0,0,0,0.0,0,0
140135557,2016-08-11,0,0.0,22679,0,0,0.0,0,0
140135511,2016-08-11,0,0.0,0,0,0,0.0,0,0
140260480,2016-08-11,0,0.0,0,0,0,0.0,0,0
140429877,2016-08-11,0,0.0,0,0,0,0.0,0,0
140284163,2016-08-11,0,0.0,5164,0,0,0.0,0,1
140168319,2016-08-11,0,0.0,0,0,0,0.0,0,0
140344239,2016-08-11,0,0.0,6772,0,0,0.0,0,0
140295359,2016-08-11,0,0.0,0,0,0,0.0,0,0
140207763,2016-08-11,0,0.0,16485,0,0,0.0,0,0
140649504,2016-08-11,0,0.0,0,0,0,0.0,0,1
140484864,2016-08-11,0,0.0,0,0,0,0.0,0,1
140155546,2016-08-11,0,0.0,2113,0,0,0.0,0,0
140196931,2016-08-11,0,0.0,116,0,0,0.0,0,0
140542532,2016-08-11,0,0.0,0,0,0,0.0,0,1
140454013,2016-08-11,0,0.0,5495,0,0,0.0,0,0
140414182,2016-08-11,0,0.0,0,0,0,0.0,0,0
140295025,2016-08-11,0,0.0,798,0,0,0.0,0,0
140224362,2016-08-11,0,0.0,0,0,0,0.0,0,0
140405839,2016-08-11,0,0.0,17,0,0,0.0,0,0
140433701,2016-08-11,0,0.0,0,0,0,0.0,0,0
140260579,2016-08-11,0,0.0,0,0,0,0.0,0,0
140680136,2016-08-11,0,0.0,0,0,0,0.0,0,0
140184990,2016-08-11,0,0.0,0,0,0,0.0,0,0
140171757,2016-08-11,0,0.0,0,0,0,0.0,0,0
140404681,2016-08-11,0,0.0,0,0,0,0.0,0,0
140321344,2016-08-11,0,0.0,0,0,0,0.0,0,0
140209884,2016-08-11,0,0.0,0,0,0,0.0,0,0
140226030,2016-08-11,0,0.0,0,0,0,0.0,0,1
140443028,2016-08-11,0,0.0,40,0,0,0.0,0,0
140516173,2016-08-11,0,0.0,0,0,0,0.0,0,0
140270486,2016-08-11,0,0.0,0,0,0,0.0,0,0
140471151,2016-08-11,0,0.0,0,0,0,0.0,0,1
140093954,2016-08-11,0,0.0,0,0,0,0.0,0,0
140529190,2016-08-11,0,0.0,0,0,0,0.0,0,1
140597200,2016-08-11,0,0.0,0,0,0,0.0,0,0
140154275,2016-08-11,0,0.0,0,0,0,0.0,0,0
140509484,2016-08-11,0,0.0,0,0,0,0.0,0,0
140275787,2016-08-11,0,0.0,0,0,0,0.0,0,1
